['icache_d', ['x', '64']]  csr_regfile
['wfi_d', ['x', '1']]  csr_regfile
['wfi_q', ['0', '1']]  csr_regfile
['cycle_q', ['0', '64']]  csr_regfile
['cycle_d', ['x', '64']]  csr_regfile
['instret_q', ['0', '64']]  csr_regfile
['instret_d', ['x', '64']]  csr_regfile
['pmpcfg_q', ['0', '128']]  csr_regfile
['pmpcfg_d', ['x', '128']]  csr_regfile
['pmpaddr_q', ['0', '864']]  csr_regfile
['pmpaddr_d', ['x', '864']]  csr_regfile
['uscratch_o', ['0', '64']]  csr_regfile
['fcsr_q', ['0', '32']]  csr_regfile
['fcsr_d', ['x', '32']]  csr_regfile
['mask', ['x', '64']]  csr_regfile
['csr_update.sapt', ['x', '64']]  csr_regfile
['csr_update.instret', ['x', '64']]  csr_regfile
['csr_update.sv2v_autoblock_1.i', ['x', '32']]  csr_regfile
['csr_update.sv2v_autoblock_2.i', ['x', '32']]  csr_regfile
['csr_update.sv2v_autoblock_3.i', ['x', '32']]  csr_regfile
['clk_i', ['0', '1']]  csr_regfile
